10:39:18 bat:3.04 pressure:1028 status:1 temp:11
10:39:27 bat:3.61 pressure:1049 status:1 temp:20
10:39:33 bat:4.03 pressure:997 status:3 temp:32
10:39:38 bat:3.47 pressure:1036 status:2 temp:19
10:39:45 bat:3.29 pressure:1037 status:0 temp:17
10:39:50 bat:3.06 pressure:1021 status:1 temp:27
10:39:56 bat:3.33 pressure:1046 status:0 temp:26
10:40:01 bat:3.04 pressure:1024 status:3 temp:20
10:40:08 bat:4.01 pressure:1046 status:2 temp:17
10:40:15 bat:3.58 pressure:1044 status:1 temp:18
10:40:21 bat:4.18 pressure:982 status:2 temp:24
10:40:26 bat:3.27 pressure:992 status:0 temp:28
10:40:32 bat:4.07 pressure:983 status:0 temp:16
10:40:38 bat:3.51 pressure:1002 status:3 temp:22
10:40:43 bat:3.64 pressure:1017 status:3 temp:34
10:40:49 bat:3.54 pressure:1019 status:1 temp:33
10:40:55 bat:3.06 pressure:994 status:3 temp:13
10:41:01 bat:3.32 pressure:1015 status:2 temp:29
10:41:31 bat:3.95 pressure:996 status:1 temp:34 x:1044
10:41:37 bat:3.93 pressure:1035 status:2 temp:13 x:987
10:41:44 bat:4.14 pressure:1023 status:0 temp:14 x:994
10:41:50 bat:3.78 pressure:985 status:0 temp:21 x:1036
10:41:56 bat:3.78 pressure:1036 status:1 temp:19 x:993
10:42:02 bat:3.34 pressure:993 status:1 temp:34 x:1008
10:42:08 bat:3.74 pressure:1020 status:0 temp:13 x:1047
10:42:14 bat:3.96 pressure:986 status:0 temp:17 x:1023
10:42:20 bat:4.02 pressure:1004 status:2 temp:28 x:1009
10:42:28 bat:4.07 pressure:1020 status:0 temp:17 x:986
10:42:34 bat:3.71 pressure:1020 status:1 temp:12 x:1023
10:42:40 bat:3.19 pressure:1022 status:1 temp:13 x:1041
10:42:45 bat:3.42 pressure:1013 status:1 temp:25 x:1011
10:42:51 bat:3.97 pressure:993 status:0 temp:16 x:1019
10:42:56 bat:3.13 pressure:989 status:3 temp:34 x:1037
10:43:02 bat:3.15 pressure:1040 status:3 temp:19 x:1024
10:43:09 bat:3.78 pressure:992 status:2 temp:18 x:995
10:43:14 bat:3.77 pressure:1022 status:3 temp:30 x:1038
10:43:21 bat:3.45 pressure:1015 status:1 temp:10 x:1039
10:43:26 bat:3.94 pressure:993 status:2 temp:30 x:1032
10:43:32 bat:3.52 pressure:988 status:0 temp:10 x:993
10:43:38 bat:3.77 pressure:1045 status:1 temp:19 x:1016
10:43:44 bat:3.0 pressure:1036 status:0 temp:12 x:1050
10:43:49 bat:3.96 pressure:1043 status:2 temp:20 x:1020
10:43:55 bat:3.99 pressure:1049 status:2 temp:13 x:996
10:44:01 bat:3.47 pressure:1023 status:2 temp:21 x:988
10:44:08 bat:3.33 pressure:992 status:0 temp:10 x:982
10:44:14 bat:3.14 pressure:1038 status:1 temp:23 x:993
10:44:25 bat:3.29 pressure:1041 status:2 temp:29 x:1035
10:44:32 bat:3.61 pressure:1024 status:0 temp:33 x:1011
10:44:38 bat:3.05 pressure:1023 status:2 temp:21 x:1004
10:44:44 bat:4.05 pressure:1039 status:0 temp:21 x:1000
10:44:51 bat:3.79 pressure:1036 status:0 temp:10 x:990
10:44:57 bat:3.1 pressure:1015 status:3 temp:29 x:1023
10:45:04 bat:3.51 pressure:1035 status:0 temp:21 x:1013
10:45:10 bat:3.1 pressure:987 status:3 temp:14 x:1044
10:45:15 bat:3.88 pressure:1029 status:2 temp:31 x:1013
10:45:20 bat:3.36 pressure:991 status:0 temp:33 x:996
10:45:26 bat:3.43 pressure:1023 status:2 temp:19 x:1048
10:45:32 bat:3.26 pressure:1035 status:2 temp:20 x:1018
10:45:41 bat:3.06 pressure:1039 status:3 temp:27 x:1004
10:45:47 bat:3.57 pressure:1007 status:3 temp:33 x:1017
10:45:53 bat:3.43 pressure:996 status:2 temp:30 x:1006
10:46:00 bat:3.7 pressure:1022 status:3 temp:25 x:1050
10:46:06 bat:3.88 pressure:982 status:0 temp:22 x:1050
10:46:13 bat:3.29 pressure:1041 status:3 temp:11 x:1024
10:46:20 bat:3.54 pressure:1030 status:3 temp:25 x:1035
10:46:27 bat:3.11 pressure:1024 status:3 temp:21 x:1003
10:46:33 bat:3.55 pressure:994 status:2 temp:28 x:1009
10:46:39 bat:3.28 pressure:1007 status:0 temp:32 x:993
10:46:45 bat:3.72 pressure:1004 status:1 temp:12 x:1016
10:46:51 bat:3.54 pressure:989 status:0 temp:14 x:1018
10:46:58 bat:3.81 pressure:1031 status:0 temp:12 x:1039
10:47:05 bat:3.4 pressure:996 status:2 temp:14 x:1029
10:47:10 bat:3.01 pressure:1027 status:0 temp:27 x:1018
10:47:16 bat:3.4 pressure:1004 status:2 temp:34 x:992
10:47:23 bat:3.85 pressure:994 status:2 temp:30 x:1012
10:47:29 bat:4.19 pressure:1045 status:1 temp:17 x:1001
10:47:36 bat:3.01 pressure:1040 status:1 temp:29 x:1042
10:47:41 bat:3.66 pressure:996 status:0 temp:10 x:1041
10:47:46 bat:3.05 pressure:988 status:0 temp:17 x:1008
10:47:52 bat:3.72 pressure:1043 status:0 temp:30 x:994
10:47:59 bat:3.03 pressure:1024 status:1 temp:32 x:988
10:48:04 bat:3.1 pressure:1046 status:3 temp:34 x:994
10:48:10 bat:3.56 pressure:996 status:1 temp:13 x:1013
10:48:16 bat:3.82 pressure:1011 status:1 temp:32 x:1006
