[2026-06-08 09:57:23] TYPE=COMMAND | CAM_ON envoyé
[2026-06-08 09:57:23] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-08 09:57:34] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 09:57:34] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-08 10:55:32] TYPE=COMMAND | CAM_ON envoyé
[2026-06-08 10:55:32] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-08 10:55:36] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 10:55:36] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-08 14:01:20] TYPE=COMMAND | CAM_ON envoyé
[2026-06-08 14:01:20] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-08 14:01:24] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 14:01:24] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-08 14:47:08] TYPE=COMMAND | CAM_ON envoyé
[2026-06-08 14:47:08] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-08 14:47:19] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 14:47:19] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-08 14:53:23] TYPE=COMMAND | CAM_ON envoyé
[2026-06-08 14:53:23] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-08 14:53:32] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 14:53:32] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-08 16:19:04] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-08 16:19:04] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-09 12:24:16] TYPE=ERROR | ESP32 non connecté (CAM_ON)
[2026-06-09 12:25:40] TYPE=COMMAND | CAM_ON envoyé
[2026-06-09 12:25:40] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-09 12:25:47] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-09 12:25:47] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-10 10:31:23] TYPE=COMMAND | CAM_ON envoyé
[2026-06-10 10:31:23] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-10 10:31:26] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-10 10:31:26] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-10 14:17:35] TYPE=COMMAND | CAM_ON envoyé
[2026-06-10 14:17:35] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-10 14:31:06] TYPE=COMMAND | CAM_ON envoyé
[2026-06-10 14:31:06] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-10 14:31:19] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-10 14:31:19] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-11 10:36:11] TYPE=COMMAND | CAM_ON envoyé
[2026-06-11 10:36:11] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-11 10:38:52] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-11 10:38:52] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
[2026-06-11 10:41:00] TYPE=COMMAND | CAM_ON envoyé
[2026-06-11 10:41:00] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-11 10:53:44] TYPE=COMMAND | CAM_ON envoyé
[2026-06-11 10:53:44] TYPE=RESPONSE | OK CAM_ON_RECEIVED
[2026-06-11 10:54:11] TYPE=COMMAND | CAM_OFF envoyé
[2026-06-11 10:54:11] TYPE=RESPONSE | OK CAM_OFF_RECEIVED
